sample_id,sra_accession,condition,replicate,cell_type,genotype,layout,fastq_1,fastq_2,bam,peak_file
WT_REP1,SRR25223179,control,1,HUES66-derived neuron,CHD8 WT,PAIRED,data/raw/atac/GSE236992/fastq/SRR25223179_1.fastq,data/raw/atac/GSE236992/fastq/SRR25223179_2.fastq,results/atac/GSE236992/filtered/WT_REP1.filtered.bam,results/atac/GSE236992/peaks/WT_REP1_peaks.narrowPeak
WT_REP2,SRR25223182,control,2,HUES66-derived neuron,CHD8 WT,PAIRED,data/raw/atac/GSE236992/fastq/SRR25223182_1.fastq,data/raw/atac/GSE236992/fastq/SRR25223182_2.fastq,results/atac/GSE236992/filtered/WT_REP2.filtered.bam,results/atac/GSE236992/peaks/WT_REP2_peaks.narrowPeak
CHD8_KO_REP1,SRR25223180,CHD8_deletion,1,HUES66-derived neuron,CHD8 KO,PAIRED,data/raw/atac/GSE236992/fastq/SRR25223180_1.fastq,data/raw/atac/GSE236992/fastq/SRR25223180_2.fastq,results/atac/GSE236992/filtered/CHD8_KO_REP1.filtered.bam,results/atac/GSE236992/peaks/CHD8_KO_REP1_peaks.narrowPeak
CHD8_KO_REP2,SRR25223181,CHD8_deletion,2,HUES66-derived neuron,CHD8 KO,PAIRED,data/raw/atac/GSE236992/fastq/SRR25223181_1.fastq,data/raw/atac/GSE236992/fastq/SRR25223181_2.fastq,results/atac/GSE236992/filtered/CHD8_KO_REP2.filtered.bam,results/atac/GSE236992/peaks/CHD8_KO_REP2_peaks.narrowPeak
CHD8_KO_REP3,SRR25223183,CHD8_deletion,3,HUES66-derived neuron,CHD8 KO,PAIRED,data/raw/atac/GSE236992/fastq/SRR25223183_1.fastq,data/raw/atac/GSE236992/fastq/SRR25223183_2.fastq,results/atac/GSE236992/filtered/CHD8_KO_REP3.filtered.bam,results/atac/GSE236992/peaks/CHD8_KO_REP3_peaks.narrowPeak
CHD8_KO_REP4,SRR25223184,CHD8_deletion,4,HUES66-derived neuron,CHD8 KO,PAIRED,data/raw/atac/GSE236992/fastq/SRR25223184_1.fastq,data/raw/atac/GSE236992/fastq/SRR25223184_2.fastq,results/atac/GSE236992/filtered/CHD8_KO_REP4.filtered.bam,results/atac/GSE236992/peaks/CHD8_KO_REP4_peaks.narrowPeak
